4.3342,-0.71355,9.3819
6.7354,1.2173,12.253
9.319,3.3602,15.278
11.651,5.3439,17.958
13.294,6.731,19.857
14.009,7.2847,20.734
13.876,7.1017,20.65
13.165,6.4543,19.876
12.133,5.5769,18.689
10.92,4.5735,17.266
9.5846,3.4682,15.701
8.1786,2.2918,14.065
6.7813,1.1165,12.446
5.4829,0.031642,10.934
4.3494,-0.90307,9.6018
3.4083,-1.6762,8.4929
2.6594,-2.3022,7.621
2.0989,-2.7863,6.9841
1.7425,-3.1022,6.5871
1.6333,-3.1896,6.4561
1.8379,-2.9681,6.6438
2.4351,-2.3604,7.2305
3.5069,-1.3102,8.3239
5.137,0.22394,10.05
7.4199,2.2931,12.547
10.47,4.9868,15.952
14.405,8.4408,20.368
19.29,12.793,25.788
25.064,18.091,32.037
31.494,24.215,38.773
38.191,30.855,45.527
44.656,37.537,51.774
50.35,43.675,57.025
54.793,48.654,60.932
57.653,51.961,63.346
58.787,53.297,64.277
58.205,52.595,63.816
56.013,49.974,62.051
52.358,45.712,59.003
47.419,40.208,54.631
41.413,33.921,48.906
34.611,27.302,41.92
27.366,20.732,34.001
20.138,14.503,25.772
13.474,8.8499,18.099
7.9607,3.9957,11.926
4.0933,0.25291,7.9336
2.1185,-1.9847,6.2217
1.9325,-2.5889,6.4539
3.1414,-1.8528,8.1356
5.2512,-0.24673,10.749
