29.297,22.69,35.903
28.451,21.88,35.021
27.527,20.899,34.156
26.466,19.704,33.229
25.116,18.198,32.034
23.39,16.374,30.406
21.353,14.348,28.359
19.149,12.247,26.051
16.884,10.129,23.639
14.59,7.9838,21.196
12.266,5.8063,18.726
9.936,3.6244,16.248
7.6559,1.4887,13.823
5.4881,-0.55761,11.534
3.4674,-2.5034,9.4382
1.5923,-4.3692,7.5538
-0.16074,-6.1807,5.8592
-1.8185,-7.9481,4.3111
-3.3998,-9.6637,2.8641
-4.9129,-11.308,1.4824
-6.3535,-12.855,0.14766
-7.7006,-14.272,-1.1296
-8.9171,-15.526,-2.3086
-9.9514,-16.575,-3.3277
-10.729,-17.357,-4.102
-11.134,-17.763,-4.506
-11.008,-17.642,-4.3737
-10.187,-16.834,-3.5398
-8.5683,-15.235,-1.9012
-6.1458,-12.829,0.53771
-3.0148,-9.6874,3.6578
0.65124,-5.9522,7.2547
4.6274,-1.8292,11.084
8.6673,2.4221,14.912
12.543,6.5184,18.567
16.087,10.214,21.959
19.215,13.367,25.062
21.913,15.956,27.869
24.196,18.043,30.349
26.073,19.706,32.441
27.539,21.001,34.076
28.598,21.971,35.225
29.295,22.662,35.928
29.724,23.133,36.314
30.003,23.44,36.566
30.214,23.613,36.814
30.349,23.654,37.044
30.323,23.545,37.101
30.039,23.251,36.827
29.475,22.742,36.207
28.706,22.028,35.383
